label,opt,config,lr,wd,dataset,dataset_label,detector,detector_label,mean,std,n_seeds
Adam,Adam,adam_lr1e-3_wd1e-4,1e-3,1e-4,tiny_imagenet,TinyImageNet,knn,Raw kNN,0.8441073583333333,0.005533798270540193,3
Adam,Adam,adam_lr1e-3_wd1e-4,1e-3,1e-4,tiny_imagenet,TinyImageNet,knn_l2,kNN-L2,0.8810633966666667,0.005252384896883373,3
AdamW-1e-4,AdamW,adamw_lr5e-3_wd1e-4,5e-3,1e-4,tiny_imagenet,TinyImageNet,mahalanobis,Raw Maha,0.39087921000000003,0.01851242645390387,3
AdamW-1e-4,AdamW,adamw_lr5e-3_wd1e-4,5e-3,1e-4,tiny_imagenet,TinyImageNet,mahalanobis_l2,Maha-L2,0.8610222533333333,0.0029087936830468697,3
AdamW-1e-4,AdamW,adamw_lr5e-3_wd1e-4,5e-3,1e-4,tiny_imagenet,TinyImageNet,knn,Raw kNN,0.5485948383333333,0.04473290011212281,3
AdamW-1e-4,AdamW,adamw_lr5e-3_wd1e-4,5e-3,1e-4,tiny_imagenet,TinyImageNet,knn_l2,kNN-L2,0.8898650533333333,0.003006215703988713,3
AdamW-5e-4,AdamW,adamw_lr5e-3_wd5e-4_anchor,5e-3,5e-4,tiny_imagenet,TinyImageNet,mahalanobis,Raw Maha,0.3978914783333334,0.0035370093171432616,3
AdamW-5e-4,AdamW,adamw_lr5e-3_wd5e-4_anchor,5e-3,5e-4,tiny_imagenet,TinyImageNet,mahalanobis_l2,Maha-L2,0.856268955,0.0052395980791302066,3
AdamW-5e-4,AdamW,adamw_lr5e-3_wd5e-4_anchor,5e-3,5e-4,tiny_imagenet,TinyImageNet,knn,Raw kNN,0.575179745,0.02147343834628199,3
AdamW-5e-4,AdamW,adamw_lr5e-3_wd5e-4_anchor,5e-3,5e-4,tiny_imagenet,TinyImageNet,knn_l2,kNN-L2,0.8862383500000001,0.0031077770297915103,3
